Unnamed: 0,Code,Job Title,Keywords,Description
,1112.06,"Administrative and Executive Officials, Quasi 
Government (Central)","administrative, central, executive, government, officials, quasi","A Administrative and executive officials, quasi 
government (central) is responsible for tasks related to administrative and executive officials, quasi 
government (central), typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1112.07,"Administrative & Executive Officials, Quasi 
Government (State)","administrative, executive, government, officials, quasi, state","A Administrative & executive officials, quasi 
government (state) is responsible for tasks related to administrative & executive officials, quasi 
government (state), typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1112.08,"Administrative and Executive Officials, Local 
Bodies","administrative, bodies, executive, local, officials","A Administrative and executive officials, local 
bodies is responsible for tasks related to administrative and executive officials, local 
bodies, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1112.99,"Senior Government Officials, Other","government, officials, senior","A Senior government officials, other is responsible for tasks related to senior government officials, other, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
Family,1113.0,Traditional Chiefs and Heads of Villages,"chiefs, heads, traditional, villages","A Traditional chiefs and heads of villages is responsible for tasks related to traditional chiefs and heads of villages, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
Family,1114.0,Senior Officials of Special Interest Organizations,"officials, organizations, senior, special","A Senior officials of special interest organizations is responsible for tasks related to senior officials of special interest organizations, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1114.01,Political Worker,"political, worker","A Political worker is responsible for tasks related to political worker, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1114.02,"Senior Officials of Employers, Workers and Other 
Economic Interest Organizations","economic, employers, officials, organizations, senior, workers","A Senior officials of employers, workers and other 
economic interest organizations is responsible for tasks related to senior officials of employers, workers and other 
economic interest organizations, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1114.03,"Director, Disaster Management Services","director, disaster, management, services","A Director, disaster management services is responsible for tasks related to director, disaster management services, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1114.99,"Senior Officials of Special Interest Organizations, 
Other","officials, organizations, senior, special","A Senior officials of special interest organizations, 
other is responsible for tasks related to senior officials of special interest organizations, 
other, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
Group,112.0,Managing Directors and Chief Executives,"chief, directors, executives, managing","A Managing directors and chief executives is responsible for tasks related to managing directors and chief executives, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
Family,1120.0,Managing Directors and Chief Executives,"chief, directors, executives, managing","A Managing directors and chief executives is responsible for tasks related to managing directors and chief executives, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.01,"Working Proprietor, Electricity","electricity, proprietor, working","A Working proprietor, electricity is responsible for tasks related to working proprietor, electricity, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.02,"Working Proprietor, Gas","gas, proprietor, working","A Working proprietor, gas is responsible for tasks related to working proprietor, gas, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.03,"Working Proprietor, Water Supply","proprietor, supply, water, working","A Working proprietor, water supply is responsible for tasks related to working proprietor, water supply, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.04,"Director, Electricity","director, electricity","A Director, electricity is responsible for tasks related to director, electricity, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.05,"Director, Gas","director, gas","A Director, gas is responsible for tasks related to director, gas, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.06,"Director, Water Supply","director, supply, water","A Director, water supply is responsible for tasks related to director, water supply, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.07,"Director, Bank","bank, director","A Director, bank is responsible for tasks related to director, bank, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.08,"Director, Insurance","director, insurance","A Director, insurance is responsible for tasks related to director, insurance, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.09,"Working Proprietor, Mines/Proprietor, Mines","mines, minesproprietor, proprietor, working","A Working proprietor, mines/proprietor, mines is responsible for tasks related to working proprietor, mines/proprietor, mines, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.1,"Working Proprietor, Quarry/Proprietor, Quarry","proprietor, quarry, quarryproprietor, working","A Working proprietor, quarry/proprietor, quarry is responsible for tasks related to working proprietor, quarry/proprietor, quarry, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.11,"Working Proprietor, Well Drilling/Proprietor, 
Well Drilling","drilling, drillingproprietor, proprietor, working","A Working proprietor, well drilling/proprietor, 
well drilling is responsible for tasks related to working proprietor, well drilling/proprietor, 
well drilling, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.12,"Working Proprietor, Construction/Proprietor, 
Construction","construction, constructionproprietor, proprietor, working","A Working proprietor, construction/proprietor, 
construction is responsible for tasks related to working proprietor, construction/proprietor, 
construction, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.13,"Director, Construction","construction, director","A Director, construction is responsible for tasks related to director, construction, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.14,"Director, Mines","director, mines","A Director, mines is responsible for tasks related to director, mines, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.15,"Director, Quarry","director, quarry","A Director, quarry is responsible for tasks related to director, quarry, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.16,"Director, Well Drilling","director, drilling","A Director, well drilling is responsible for tasks related to director, well drilling, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.17,"Working Proprietor, Manufacturing/Proprietor, 
Manufacturing","manufacturing, manufacturingproprietor, proprietor, working","A Working proprietor, manufacturing/proprietor, 
manufacturing is responsible for tasks related to working proprietor, manufacturing/proprietor, 
manufacturing, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.18,Director Manufacturing,"director, manufacturing","A Director manufacturing is responsible for tasks related to director manufacturing, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.19,"Working Proprietor, Wholesale Trade/Proprietor, 
Wholesale Trade","proprietor, trade, tradeproprietor, wholesale, working","A Working proprietor, wholesale trade/proprietor, 
wholesale trade is responsible for tasks related to working proprietor, wholesale trade/proprietor, 
wholesale trade, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.2,"Working Proprietor, Retail Trade/Proprietor, 
Retail Trade","proprietor, retail, trade, tradeproprietor, working","A Working proprietor, retail trade/proprietor, 
retail trade is responsible for tasks related to working proprietor, retail trade/proprietor, 
retail trade, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.21,"Director, Wholesale Trade","director, trade, wholesale","A Director, wholesale trade is responsible for tasks related to director, wholesale trade, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.22,"Director, Retail Trade","director, retail, trade","A Director, retail trade is responsible for tasks related to director, retail trade, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.23,"Working Proprietor, Transport","proprietor, transport, working","A Working proprietor, transport is responsible for tasks related to working proprietor, transport, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.24,"Director, Transport","director, transport","A Director, transport is responsible for tasks related to director, transport, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.25,"Director, Communication","communication, director","A Director, communication is responsible for tasks related to director, communication, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.26,"Director, Airport","airport, director","A Director, airport is responsible for tasks related to director, airport, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.27,"Working Proprietor, Storage and Warehousing","proprietor, storage, warehousing, working","A Working proprietor, storage and warehousing is responsible for tasks related to working proprietor, storage and warehousing, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.28,"Director, Storage and Warehousing","director, storage, warehousing","A Director, storage and warehousing is responsible for tasks related to director, storage and warehousing, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.29,"Working Proprietor, Lodging and Catering 
Services","catering, lodging, proprietor, services, working","A Working proprietor, lodging and catering 
services is responsible for tasks related to working proprietor, lodging and catering 
services, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.3,"Director, Lodging and Catering Services/Director 
Food and Beverage Service","beverage, catering, director, food, lodging, service, servicesdirector","A Director, lodging and catering services/director 
food and beverage service is responsible for tasks related to director, lodging and catering services/director 
food and beverage service, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.31,Executive Chef,"chef, executive","A Executive chef is responsible for tasks related to executive chef, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.32,"Working Proprietor, Recreation and 
Entertainment","entertainment, proprietor, recreation, working","A Working proprietor, recreation and 
entertainment is responsible for tasks related to working proprietor, recreation and 
entertainment, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.33,"Director, Recreation and Entertainment","director, entertainment, recreation","A Director, recreation and entertainment is responsible for tasks related to director, recreation and entertainment, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.34,"Station Director, Radio/TV","director, radiotv, station","A Station director, radio/tv is responsible for tasks related to station director, radio/tv, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.3401,Account Director ( Advertising Agency),"account, advertising, agency, director","A Account director ( advertising agency) is responsible for tasks related to account director ( advertising agency), typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.3402,Sales Director (Media Org),"director, media, org, sales","A Sales director (media org) is responsible for tasks related to sales director (media org), typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.35,"Working Proprietor, Other Services","proprietor, services, working","A Working proprietor, other services is responsible for tasks related to working proprietor, other services, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.36,"Director, Other Services","director, services","A Director, other services is responsible for tasks related to director, other services, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.37,"Director, Museum/Zoo","director, museumzoo","A Director, museum/zoo is responsible for tasks related to director, museum/zoo, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.38,Chief Librarian,"chief, librarian","A Chief librarian is responsible for tasks related to chief librarian, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.39,"Principal, College","college, principal","A Principal, college is responsible for tasks related to principal, college, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1120.99,"Managing Directors and Chief Executives, Others","chief, directors, executives, managing","A Managing directors and chief executives, others is responsible for tasks related to managing directors and chief executives, others, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
"Sub-
Division",12.0,Administrative and Commercial Managers,"administrative, commercial, managers","A Administrative and commercial managers is responsible for tasks related to administrative and commercial managers, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
Group,121.0,Business Services and Administration Managers,"administration, business, managers, services","A Business services and administration managers is responsible for tasks related to business services and administration managers, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
Family,1211.0,Finance Managers,"finance, managers","A Finance managers is responsible for tasks related to finance managers, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1211.01,"General Manager, Bank","bank, general, manager","A General manager, bank is responsible for tasks related to general manager, bank, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1211.02,"General Manager, Insurance","general, insurance, manager","A General manager, insurance is responsible for tasks related to general manager, insurance, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1211.03,"Purser, Ship","purser, ship","A Purser, ship is responsible for tasks related to purser, ship, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1211.99,"Finance Managers, Others","finance, managers","A Finance managers, others is responsible for tasks related to finance managers, others, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
Family,1212.0,Human Resource Managers,"human, managers, resource","A Human resource managers is responsible for tasks related to human resource managers, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1212.01,Personnel Manager,"manager, personnel","A Personnel manager is responsible for tasks related to personnel manager, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1212.99,"Personnel and Industrial Relations Managers, 
Other","industrial, managers, personnel, relations","A Personnel and industrial relations managers, 
other is responsible for tasks related to personnel and industrial relations managers, 
other, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
Family,1213.0,Policy and Planning Managers,"managers, planning, policy","A Policy and planning managers is responsible for tasks related to policy and planning managers, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1213.01,"Manager, Automotive Service","automotive, manager, service","A Manager, automotive service is responsible for tasks related to manager, automotive service, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1213.0101,Quality Assurance Standards In-Charge,"assurance, incharge, quality, standards","A Quality assurance standards in-charge is responsible for tasks related to quality assurance standards in-charge, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1213.0102,Manager – Customer Quality,"customer, manager, quality","A Manager – customer quality is responsible for tasks related to manager – customer quality, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1213.02,"Manager, Automotive Service Station","automotive, manager, service, station","A Manager, automotive service station is responsible for tasks related to manager, automotive service station, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1213.0201,Area Service Manager,"area, manager, service","A Area service manager is responsible for tasks related to area service manager, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1213.0202,Territory Service Manager,"manager, service, territory","A Territory service manager is responsible for tasks related to territory service manager, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1213.99,"Managers, Other Services","managers, services","A Managers, other services is responsible for tasks related to managers, other services, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
Family,1219.0,"Business Services and Administration Managers 
Not  Elsewhere Classified","administration, business, classified, managers, services","A Business services and administration managers 
not  elsewhere classified is responsible for tasks related to business services and administration managers 
not  elsewhere classified, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1219.01,"Manager, Import and Export","export, import, manager","A Manager, import and export is responsible for tasks related to manager, import and export, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1219.0101,Export Manager,"export, manager","A Export manager is responsible for tasks related to export manager, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1219.02,"Manager, Health Club/Manager, Fitness 
Club/Centre/Gym","clubcentregym, clubmanager, fitness, health, manager","A Manager, health club/manager, fitness 
club/centre/gym is responsible for tasks related to manager, health club/manager, fitness 
club/centre/gym, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
Group,122.0,"Sales, Marketing and Development Managers","development, managers, marketing, sales","A Sales, marketing and development managers is responsible for tasks related to sales, marketing and development managers, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
Family,1221.0,Sales and Marketing Managers,"managers, marketing, sales","A Sales and marketing managers is responsible for tasks related to sales and marketing managers, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1221.01,Sales Manager (Wholesale Trade),"manager, sales, trade, wholesale","A Sales manager (wholesale trade) is responsible for tasks related to sales manager (wholesale trade), typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1221.02,Sales Manager (Retail Trade),"manager, retail, sales, trade","A Sales manager (retail trade) is responsible for tasks related to sales manager (retail trade), typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1221.0301,Home Delivery Manager,"delivery, home, manager","A Home delivery manager is responsible for tasks related to home delivery manager, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1221.0401,Territory Sales Manager (Broadband),"broadband, manager, sales, territory","A Territory sales manager (broadband) is responsible for tasks related to territory sales manager (broadband), typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1221.0501,Territory Sales Manager (Prepaid),"manager, prepaid, sales, territory","A Territory sales manager (prepaid) is responsible for tasks related to territory sales manager (prepaid), typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1221.0601,Sales Co-Ordinator (Media Org),"coordinator, media, org, sales","A Sales co-ordinator (media org) is responsible for tasks related to sales co-ordinator (media org), typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1221.0602,Sales Manager (Media Org),"manager, media, org, sales","A Sales manager (media org) is responsible for tasks related to sales manager (media org), typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1221.99,"Sales and Marketing Managers, Other","managers, marketing, sales","A Sales and marketing managers, other is responsible for tasks related to sales and marketing managers, other, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
Family,1222.0,Advertising and Public Relation Managers,"advertising, managers, public, relation","A Advertising and public relation managers is responsible for tasks related to advertising and public relation managers, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1222.01,"Manager, Advertising and Promotion","advertising, manager, promotion","A Manager, advertising and promotion is responsible for tasks related to manager, advertising and promotion, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1222.0102,Advertising Operations Co-Ordinator (Digital),"advertising, coordinator, digital, operations","A Advertising operations co-ordinator (digital) is responsible for tasks related to advertising operations co-ordinator (digital), typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1222.02,"Manager, Fashion/Fashion Manager","fashionfashion, manager","A Manager, fashion/fashion manager is responsible for tasks related to manager, fashion/fashion manager, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1222.99,"Advertising and Public Relations Department 
Managers, Others","advertising, department, managers, public, relations","A Advertising and public relations department 
managers, others is responsible for tasks related to advertising and public relations department 
managers, others, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
Family,1223.0,Research and Development Managers,"development, managers, research","A Research and development managers is responsible for tasks related to research and development managers, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1223.0101,Manager Testing Facility,"facility, manager, testing","A Manager testing facility is responsible for tasks related to manager testing facility, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1223.0102,Manager Material Testing,"manager, material, testing","A Manager material testing is responsible for tasks related to manager material testing, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1223.0201,Research Associate,"associate, research","A Research associate is responsible for tasks related to research associate, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
"Sub-
Division",13.0,Production and Specialized Services Managers,"managers, production, services, specialized","A Production and specialized services managers is responsible for tasks related to production and specialized services managers, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
Group,131.0,"Production Managers in Agriculture, Forestry 
and Fisheries","agriculture, fisheries, forestry, managers, production","A Production managers in agriculture, forestry 
and fisheries is responsible for tasks related to production managers in agriculture, forestry 
and fisheries, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
Family,1311.0,Agricultural and Forestry Production Managers,"agricultural, forestry, managers, production","A Agricultural and forestry production managers is responsible for tasks related to agricultural and forestry production managers, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1311.01,"General Manager, Plantation","general, manager, plantation","A General manager, plantation is responsible for tasks related to general manager, plantation, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1311.02,"General Manager, Horticulture","general, horticulture, manager","A General manager, horticulture is responsible for tasks related to general manager, horticulture, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1311.03,"General Manager, Agricultural Farm","agricultural, farm, general, manager","A General manager, agricultural farm is responsible for tasks related to general manager, agricultural farm, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1311.04,"General Manager, Livestock Farm","farm, general, livestock, manager","A General manager, livestock farm is responsible for tasks related to general manager, livestock farm, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1311.05,"General Manager, Dairy Farm","dairy, farm, general, manager","A General manager, dairy farm is responsible for tasks related to general manager, dairy farm, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1311.06,"General Manager, Poultry","general, manager, poultry","A General manager, poultry is responsible for tasks related to general manager, poultry, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1311.07,"Manager, Agricultural Farm","agricultural, farm, manager","A Manager, agricultural farm is responsible for tasks related to manager, agricultural farm, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1311.08,"Manager, Plantation","manager, plantation","A Manager, plantation is responsible for tasks related to manager, plantation, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1311.09,"Manager, Nursery","manager, nursery","A Manager, nursery is responsible for tasks related to manager, nursery, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1311.0901,Rubber Nursery Manager,"manager, nursery, rubber","A Rubber nursery manager is responsible for tasks related to rubber nursery manager, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1311.1,"Manager, Aerial Planting and Cultivation","aerial, cultivation, manager, planting","A Manager, aerial planting and cultivation is responsible for tasks related to manager, aerial planting and cultivation, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1311.11,"Manager, Orchard","manager, orchard","A Manager, orchard is responsible for tasks related to manager, orchard, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1311.12,"Manager, Horticulture Farm","farm, horticulture, manager","A Manager, horticulture farm is responsible for tasks related to manager, horticulture farm, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1311.13,"Manager, Livestock Farm","farm, livestock, manager","A Manager, livestock farm is responsible for tasks related to manager, livestock farm, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1311.14,"Manager, Dairy Farm","dairy, farm, manager","A Manager, dairy farm is responsible for tasks related to manager, dairy farm, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1311.15,"Manager, Poultry Farm","farm, manager, poultry","A Manager, poultry farm is responsible for tasks related to manager, poultry farm, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1311.99,"Agricultural and Forestry Production Managers, 
Others","agricultural, forestry, managers, production","A Agricultural and forestry production managers, 
others is responsible for tasks related to agricultural and forestry production managers, 
others, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
Family,1312.0,Aquaculture and Fisheries Production Managers,"aquaculture, fisheries, managers, production","A Aquaculture and fisheries production managers is responsible for tasks related to aquaculture and fisheries production managers, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
Group,132.0,"Manufacturing, Mining, Construction and 
Distribution Managers","construction, distribution, managers, manufacturing, mining","A Manufacturing, mining, construction and 
distribution managers is responsible for tasks related to manufacturing, mining, construction and 
distribution managers, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
Family,1321.0,Manufacturing Managers,"managers, manufacturing","A Manufacturing managers is responsible for tasks related to manufacturing managers, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1321.01,"Manager, Electricity","electricity, manager","A Manager, electricity is responsible for tasks related to manager, electricity, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1321.02,Terminal Manager,"manager, terminal","A Terminal manager is responsible for tasks related to terminal manager, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1321.03,"Manager, Gas","gas, manager","A Manager, gas is responsible for tasks related to manager, gas, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1321.04,"Manager, Water Supply","manager, supply, water","A Manager, water supply is responsible for tasks related to manager, water supply, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1321.05,"Manager, Food Processing Plant","food, manager, plant, processing","A Manager, food processing plant is responsible for tasks related to manager, food processing plant, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1321.06,"Manager, Manufacturing","manager, manufacturing","A Manager, manufacturing is responsible for tasks related to manager, manufacturing, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1321.07,"General Manager, Electricity","electricity, general, manager","A General manager, electricity is responsible for tasks related to general manager, electricity, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1321.08,"General Manager, Gas","gas, general, manager","A General manager, gas is responsible for tasks related to general manager, gas, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1321.09,"General Manager, Water Supply","general, manager, supply, water","A General manager, water supply is responsible for tasks related to general manager, water supply, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1321.1,"General Manager, Manufacturing","general, manager, manufacturing","A General manager, manufacturing is responsible for tasks related to general manager, manufacturing, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1321.99,"Manufacturing Managers, Other","managers, manufacturing","A Manufacturing managers, other is responsible for tasks related to manufacturing managers, other, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
Family,1322.0,Mining Managers,"managers, mining","A Mining managers is responsible for tasks related to mining managers, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1322.01,"Manager, Mine",manager,"A Manager, mine is responsible for tasks related to manager, mine, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1322.02,"Manager, Quarry","manager, quarry","A Manager, quarry is responsible for tasks related to manager, quarry, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1322.03,"Manager, Well Drilling","drilling, manager","A Manager, well drilling is responsible for tasks related to manager, well drilling, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1322.04,"General Manager, Mine","general, manager","A General manager, mine is responsible for tasks related to general manager, mine, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
,1322.05,"General Manager, Quarry","general, manager, quarry","A General manager, quarry is responsible for tasks related to general manager, quarry, typically working in the relevant industry or sector, ensuring accuracy, performance, and compliance."
